Country,Code,Year,Arrivals,Departures,Total,Net
New Zealand,NZL,2023,1720680,1679950,3400630,40730
New Zealand,NZL,2024,1929060,1900310,3829370,28750
New Zealand,NZL,2025,2049710,2019950,4069660,29760
China,CHN,2023,870600,865300,1735900,5300
China,CHN,2024,1343450,1314290,2657740,29160
China,CHN,2025,1501850,1486490,2988340,15360
United Kingdom,GBR,2023,754760,739310,1494070,15450
United Kingdom,GBR,2024,825370,805370,1630740,20000
United Kingdom,GBR,2025,954050,913100,1867150,40950
India,IND,2023,732970,661570,1394540,71400
India,IND,2024,792970,737920,1530890,55050
India,IND,2025,822670,774600,1597270,48070
United States,USA,2023,638260,640210,1278470,-1950
United States,USA,2024,710790,724610,1435400,-13820
United States,USA,2025,746180,773680,1519860,-27500
South Korea,KOR,2023,342240,313730,655970,28510
South Korea,KOR,2024,438430,437560,875990,870
South Korea,KOR,2025,465980,468560,934540,-2580
Japan,JPN,2023,329400,329610,659010,-210
Japan,JPN,2024,441720,437000,878720,4720
Japan,JPN,2025,464760,462020,926780,2740
Singapore,SGP,2023,286740,287250,573990,-510
Singapore,SGP,2024,341150,343430,684580,-2280
Singapore,SGP,2025,366940,367090,734030,-150
Malaysia,MYS,2023,279950,277860,557810,2090
Malaysia,MYS,2024,320310,323420,643730,-3110
Malaysia,MYS,2025,339040,339820,678860,-780
Indonesia,IDN,2023,239190,224550,463740,14640
Indonesia,IDN,2024,284650,273900,558550,10750
Indonesia,IDN,2025,304230,297240,601470,6990
