Year,Country,Total,Arrivals,Departures,Net,Direction,Abs Net
2000,New Zealand,1939260,993540,945720,47820,Net Arrivals,47820
2000,United Kingdom,1702290,864640,837650,26990,Net Arrivals,26990
2000,Japan,905790,741180,164610,576570,Net Arrivals,576570
2000,South Korea,904410,168130,736280,-568150,Net Departures,568150
2000,India,563040,71990,491050,-419060,Net Departures,419060
2000,United States,555550,488670,66880,421790,Net Arrivals,421790
2000,Singapore,458930,229500,229430,70,Net Arrivals,70
2000,Malaysia,404770,201750,203020,-1270,Net Departures,1270
2000,Germany,347640,171570,176070,-4500,Net Departures,4500
2000,China,297750,151070,146680,4390,Net Arrivals,4390
2001,New Zealand,1987820,1004590,983230,21360,Net Arrivals,21360
2001,United Kingdom,1774160,891930,882230,9700,Net Arrivals,9700
2001,South Korea,890250,190940,699310,-508370,Net Departures,508370
2001,Japan,888070,699170,188900,510270,Net Arrivals,510270
2001,India,537660,81080,456580,-375500,Net Departures,375500
2001,United States,532790,456540,76250,380290,Net Arrivals,380290
2001,Singapore,444050,221470,222580,-1110,Net Departures,1110
2001,Malaysia,397210,199470,197740,1730,Net Arrivals,1730
2001,China,392130,198350,193780,4570,Net Arrivals,4570
2001,Germany,357110,179530,177580,1950,Net Arrivals,1950
2002,New Zealand,1915300,961090,954210,6880,Net Arrivals,6880
2002,United Kingdom,1748840,884750,864090,20660,Net Arrivals,20660
2002,Japan,953010,741970,211040,530930,Net Arrivals,530930
2002,South Korea,950080,208540,741540,-533000,Net Departures,533000
2002,India,527480,83150,444330,-361180,Net Departures,361180
2002,United States,518590,441290,77300,363990,Net Arrivals,363990
2002,China,476270,241930,234340,7590,Net Arrivals,7590
2002,Singapore,418910,209880,209030,850,Net Arrivals,850
2002,Malaysia,416860,209220,207640,1580,Net Arrivals,1580
2002,Germany,333320,166770,166550,220,Net Arrivals,220
2003,New Zealand,2020140,1016030,1004110,11920,Net Arrivals,11920
2003,United Kingdom,1786610,899980,886630,13350,Net Arrivals,13350
2003,South Korea,870580,225880,644700,-418820,Net Departures,418820
2003,Japan,866980,643700,223280,420420,Net Arrivals,420420
2003,India,526660,90790,435870,-345080,Net Departures,345080
2003,United States,511430,433150,78280,354870,Net Arrivals,354870
2003,China,443040,226930,216110,10820,Net Arrivals,10820
2003,Malaysia,412610,207070,205540,1530,Net Arrivals,1530
2003,Singapore,386420,193730,192690,1040,Net Arrivals,1040
2003,Germany,329670,166170,163500,2670,Net Arrivals,2670
2004,New Zealand,2474050,1243520,1230530,12990,Net Arrivals,12990
2004,United Kingdom,1829190,920770,908420,12350,Net Arrivals,12350
2004,South Korea,961330,234740,726590,-491850,Net Departures,491850
2004,Japan,954710,725410,229300,496110,Net Arrivals,496110
2004,China,606690,310010,296680,13330,Net Arrivals,13330
2004,India,557530,110920,446610,-335690,Net Departures,335690
2004,United States,542290,445410,96880,348530,Net Arrivals,348530
2004,Malaysia,452410,227210,225200,2010,Net Arrivals,2010
2004,Singapore,404540,202730,201810,920,Net Arrivals,920
2004,Germany,336360,168610,167750,860,Net Arrivals,860
2005,New Zealand,2611880,1316060,1295820,20240,Net Arrivals,20240
2005,United Kingdom,1911790,964730,947060,17670,Net Arrivals,17670
2005,South Korea,982630,277620,705010,-427390,Net Departures,427390
2005,Japan,971430,703490,267940,435550,Net Arrivals,435550
2005,China,680350,348250,332100,16150,Net Arrivals,16150
2005,India,593080,133090,459990,-326900,Net Departures,326900
2005,United States,575290,459990,115300,344690,Net Arrivals,344690
2005,Malaysia,454630,229100,225530,3570,Net Arrivals,3570
2005,Singapore,416370,208440,207930,510,Net Arrivals,510
2005,Germany,358690,179840,178850,990,Net Arrivals,990
2006,New Zealand,2577970,1296990,1280980,16010,Net Arrivals,16010
2006,United Kingdom,1929330,988940,940390,48550,Net Arrivals,48550
2006,South Korea,964270,292620,671650,-379030,Net Departures,379030
2006,Japan,954300,670640,283660,386980,Net Arrivals,386980
2006,China,736680,378400,358280,20120,Net Arrivals,20120
2006,India,636950,162220,474730,-312510,Net Departures,312510
2006,United States,605750,471410,134340,337070,Net Arrivals,337070
2006,Malaysia,424670,214760,209910,4850,Net Arrivals,4850
2006,Singapore,371710,185700,186010,-310,Net Departures,310
