year,Year,Month,Arrivals,Departures
2000,2000,JAN,753440,723440
2000,2000,FEB,708940,624840
2000,2000,MAR,663510,702200
2000,2000,APR,707500,741110
2000,2000,MAY,594550,661340
2000,2000,JUN,615350,664860
2000,2000,JUL,794190,687860
2000,2000,AUG,679450,728810
2000,2000,SEP,753310,715560
2000,2000,OCT,821590,735140
2000,2000,NOV,759550,759430
2000,2000,DEC,820560,871220
2001,2001,JAN,874790,821560
2001,2001,FEB,733150,636500
2001,2001,MAR,707640,749700
2001,2001,APR,719340,754150
2001,2001,MAY,603030,679260
2001,2001,JUN,656320,706880
2001,2001,JUL,835280,738660
2001,2001,AUG,697870,751250
2001,2001,SEP,705910,699630
2001,2001,OCT,750270,618950
2001,2001,NOV,625250,637910
2001,2001,DEC,753250,782310
2002,2002,JAN,787590,757640
2002,2002,FEB,708130,640570
2002,2002,MAR,729840,743420
2002,2002,APR,649940,704770
2002,2002,MAY,598300,667490
2002,2002,JUN,625020,682710
2002,2002,JUL,801980,707290
2002,2002,AUG,691630,735280
2002,2002,SEP,692100,704200
2002,2002,OCT,828820,675740
2002,2002,NOV,714940,723120
2002,2002,DEC,769760,836430
2003,2003,JAN,838900,786500
2003,2003,FEB,720640,631130
2003,2003,MAR,672780,684720
2003,2003,APR,574090,598470
2003,2003,MAY,487890,540420
2003,2003,JUN,545910,604260
2003,2003,JUL,771510,683410
2003,2003,AUG,675570,730170
2003,2003,SEP,727000,729570
2003,2003,OCT,839260,692720
2003,2003,NOV,774060,798620
2003,2003,DEC,837530,922660
2004,2004,JAN,930230,872150
2004,2004,FEB,815130,704580
2004,2004,MAR,754000,795610
2004,2004,APR,770580,811370
2004,2004,MAY,671220,746690
2004,2004,JUN,705690,795240
2004,2004,JUL,952560,807180
2004,2004,AUG,785000,843010
2004,2004,SEP,812710,825840
2004,2004,OCT,951720,791600
2004,2004,NOV,838150,862840
2004,2004,DEC,919500,1014700
2005,2005,JAN,1073840,956180
2005,2005,FEB,879130,774700
2005,2005,MAR,882640,898590
2005,2005,APR,809610,853530
2005,2005,MAY,708680,805960
2005,2005,JUN,763400,863870
2005,2005,JUL,1031850,867850
2005,2005,AUG,847750,904730
2005,2005,SEP,892970,880090
2005,2005,OCT,989370,815700
2005,2005,NOV,842190,883600
2005,2005,DEC,944670,1035100
2006,2006,JAN,1092420,959690
2006,2006,FEB,892920,780630
2006,2006,MAR,845850,870590
2006,2006,APR,849430,916940
2006,2006,MAY,722640,803640
2006,2006,JUN,779630,890800
2006,2006,JUL,1036240,856610
2006,2006,AUG,845420,894280
2006,2006,SEP,909060,895330
2006,2006,OCT,1035540,868850
2006,2006,NOV,893840,900420
2006,2006,DEC,1007590,1106420
2007,2007,JAN,1135590,1013050
2007,2007,FEB,929580,812520
2007,2007,MAR,945260,965780
2007,2007,APR,909670,951580
2007,2007,MAY,779980,856170
2007,2007,JUN,841640,935360
2007,2007,JUL,1085800,934850
2007,2007,AUG,926260,962120
2007,2007,SEP,956610,983450
2007,2007,OCT,1107580,910930
2007,2007,NOV,964140,974850
2007,2007,DEC,1031710,1174380
2008,2008,JAN,1208080,1041870
2008,2008,FEB,1039480,885850
2008,2008,MAR,998160,1008050
2008,2008,APR,929810,960120
2008,2008,MAY,845990,924940
2008,2008,JUN,881290,967050
2008,2008,JUL,1163830,996350
2008,2008,AUG,964100,996630
2008,2008,SEP,959240,958090
2008,2008,OCT,1129070,916310
2008,2008,NOV,962240,961270
2008,2008,DEC,1033260,1187990
2009,2009,JAN,1238640,1042720
2009,2009,FEB,998940,844290
2009,2009,MAR,954240,955430
2009,2009,APR,982110,1022600
2009,2009,MAY,857170,936610
2009,2009,JUN,862650,987950
2009,2009,JUL,1155030,1010180
2009,2009,AUG,1009820,1015690
2009,2009,SEP,1045330,1058070
2009,2009,OCT,1219110,1036370
2009,2009,NOV,1033140,1067800
2009,2009,DEC,1138540,1311620
2010,2010,JAN,1352000,1155320
2010,2010,FEB,1099660,959170
2010,2010,MAR,1063910,1111500
2010,2010,APR,1035820,1049210
2010,2010,MAY,905910,1003080
2010,2010,JUN,964870,1140560
2010,2010,JUL,1309700,1110100
2010,2010,AUG,1090010,1124460
2010,2010,SEP,1151000,1182190
2010,2010,OCT,1308330,1093840
2010,2010,NOV,1098810,1136040
2010,2010,DEC,1192680,1404740
2011,2011,JAN,1459720,1249740
2011,2011,FEB,1166430,993630
2011,2011,MAR,1067910,1069880
2011,2011,APR,1102930,1205170
2011,2011,MAY,1034900,1084640
2011,2011,JUN,996710,1177530
2011,2011,JUL,1382310,1176810
2011,2011,AUG,1154950,1173140
2011,2011,SEP,1178760,1245430
2011,2011,OCT,1389340,1135860
2011,2011,NOV,1157950,1172830
2011,2011,DEC,1233230,1469030
2012,2012,JAN,1538040,1291220
2012,2012,FEB,1234500,1038610
2012,2012,MAR,1156120,1210250
2012,2012,APR,1194630,1218060
2012,2012,MAY,1014810,1109580
2012,2012,JUN,1097420,1272870
2012,2012,JUL,1429310,1191780
2012,2012,AUG,1203720,1235770
2012,2012,SEP,1252460,1304480
2012,2012,OCT,1454320,1181220
2012,2012,NOV,1222060,1252420
2012,2012,DEC,1323140,1543270
2013,2013,JAN,1578440,1320830
2013,2013,FEB,1261420,1094910
2013,2013,MAR,1239490,1287530
2013,2013,APR,1226840,1258030
2013,2013,MAY,1097850,1197390
2013,2013,JUN,1161650,1335540
2013,2013,JUL,1511220,1299920
2013,2013,AUG,1304740,1343350
2013,2013,SEP,1325700,1379670
2013,2013,OCT,1532780,1234270
2013,2013,NOV,1283830,1302890
2013,2013,DEC,1422260,1682310
2014,2014,JAN,1744890,1465150
2014,2014,FEB,1339050,1182440
2014,2014,MAR,1280150,1298710
2014,2014,APR,1331230,1414040
2014,2014,MAY,1187550,1265970
2014,2014,JUN,1179420,1420280
2014,2014,JUL,1594110,1344800
2014,2014,AUG,1362450,1425230
2014,2014,SEP,1381030,1407840
2014,2014,OCT,1574500,1301610
2014,2014,NOV,1342800,1360790
2014,2014,DEC,1455550,1712460
2015,2015,JAN,1780350,1492040
2015,2015,FEB,1415950,1244450
2015,2015,MAR,1388160,1446300
2015,2015,APR,1365370,1407210
2015,2015,MAY,1215090,1308870
2015,2015,JUN,1233570,1460060
2015,2015,JUL,1646140,1432870
2015,2015,AUG,1419480,1448890
2015,2015,SEP,1456880,1476490
2015,2015,OCT,1650380,1395260
2015,2015,NOV,1424700,1437150
2015,2015,DEC,1584200,1853170
2016,2016,JAN,1908270,1635880
2016,2016,FEB,1560130,1367240
2016,2016,MAR,1479930,1540790
2016,2016,APR,1473700,1493250
2016,2016,MAY,1304820,1387400
2016,2016,JUN,1326820,1580220
2016,2016,JUL,1829100,1574310
2016,2016,AUG,1511510,1546190
2016,2016,SEP,1587330,1601950
2016,2016,OCT,1778870,1502290
2016,2016,NOV,1512920,1544640
2016,2016,DEC,1716250,1992710
2017,2017,JAN,2066340,1781220
2017,2017,FEB,1631360,1393200
2017,2017,MAR,1522680,1576240
2017,2017,APR,1649770,1705020
2017,2017,MAY,1401070,1492580
2017,2017,JUN,1421130,1672190
2017,2017,JUL,1909100,1652280
2017,2017,AUG,1623620,1657720
2017,2017,SEP,1666150,1701600
2017,2017,OCT,1879610,1568390
2017,2017,NOV,1602190,1638140
2017,2017,DEC,1755130,2082840
2018,2018,JAN,2130700,1809210
2018,2018,FEB,1729160,1515400
2018,2018,MAR,1682320,1743090
2018,2018,APR,1668310,1715000
2018,2018,MAY,1480380,1556600
2018,2018,JUN,1513000,1785860
2018,2018,JUL,2009860,1725790
2018,2018,AUG,1718580,1765100
2018,2018,SEP,1721970,1755060
2018,2018,OCT,1963730,1639940
2018,2018,NOV,1667980,1715150
2018,2018,DEC,1853600,2184290
2019,2019,JAN,2217890,1905430
2019,2019,FEB,1788430,1521730
2019,2019,MAR,1660140,1684320
2019,2019,APR,1674400,1828640
2019,2019,MAY,1587870,1632790
2019,2019,JUN,1562130,1800580
2019,2019,JUL,2008780,1757440
2019,2019,AUG,1782670,1809670
2019,2019,SEP,1746100,1796540
2019,2019,OCT,1979190,1678790
2019,2019,NOV,1721900,1743220
2019,2019,DEC,1889300,2240340
2020,2020,JAN,2257280,1974400
2020,2020,FEB,1568650,1294290
2020,2020,MAR,921950,834950
2020,2020,APR,21170,62460
2020,2020,MAY,19120,34950
2020,2020,JUN,25120,39260
2020,2020,JUL,17260,55740
2020,2020,AUG,14940,59620
2020,2020,SEP,16200,48490
2020,2020,OCT,23710,45810
2020,2020,NOV,29330,44240
2020,2020,DEC,34670,49100
2021,2021,JAN,31160,41860
2021,2021,FEB,25210,31970
2021,2021,MAR,31990,31310
2021,2021,APR,53910,63920
2021,2021,MAY,114520,107230
2021,2021,JUN,102480,98350
2021,2021,JUL,74860,87020
2021,2021,AUG,27020,37240
2021,2021,SEP,18850,30330
2021,2021,OCT,16630,36830
2021,2021,NOV,72260,91120
2021,2021,DEC,196170,227240
2022,2022,JAN,265260,188210
2022,2022,FEB,271280,176260
2022,2022,MAR,374630,335240
2022,2022,APR,573930,606710
2022,2022,MAY,650520,659860
2022,2022,JUN,730400,880860
2022,2022,JUL,1081610,968490
2022,2022,AUG,1027700,942210
2022,2022,SEP,1071520,1040550
2022,2022,OCT,1212850,1014820
2022,2022,NOV,1189920,1177430
2022,2022,DEC,1260550,1515290
2023,2023,JAN,1608010,1376850
2023,2023,FEB,1375520,1068410
2023,2023,MAR,1344580,1324360
2023,2023,APR,1370470,1425150
2023,2023,MAY,1296710,1359250
2023,2023,JUN,1357680,1556710
2023,2023,JUL,1743390,1494520
2023,2023,AUG,1544700,1516500
2023,2023,SEP,1602720,1589500
2023,2023,OCT,1742840,1479380
2023,2023,NOV,1562520,1591640
2023,2023,DEC,1704730,2027740
2024,2024,JAN,2122070,1745840
2024,2024,FEB,1786650,1491730
2024,2024,MAR,1614830,1709930
2024,2024,APR,1634580,1650280
2024,2024,MAY,1478410,1559320
2024,2024,JUN,1525610,1762410
2024,2024,JUL,1925260,1650530
2024,2024,AUG,1656470,1694440
2024,2024,SEP,1733340,1796550
2024,2024,OCT,1939260,1658170
2024,2024,NOV,1706490,1776340
2024,2024,DEC,1853030,2262020
2025,2025,JAN,2383330,2031060
2025,2025,FEB,1870730,1517920
2025,2025,MAR,1688650,1669390
2025,2025,APR,1763390,1925790
2025,2025,MAY,1659520,1679750
2025,2025,JUN,1618090,1813440
2025,2025,JUL,2068460,1819770
2025,2025,AUG,1809810,1834620
2025,2025,SEP,1830370,1921380
2025,2025,OCT,2100730,1812770
2025,2025,NOV,1849990,1910030
2025,2025,DEC,1996200,2451810
