date,state,value,type,year,latitude,longitude
1/01/2000,New South Wales,312150,Arrival,2000,-32.211,146.198
1/01/2000,Victoria,151370,Arrival,2000,-36.842,144.136
1/01/2000,Queensland,153260,Arrival,2000,-23.253,144.229
1/01/2000,South Australia,27220,Arrival,2000,-29.198,134.779
1/01/2000,Western Australia,86610,Arrival,2000,-25.667,122.343
1/01/2000,Tasmania,5220,Arrival,2000,-42.139,146.564
1/01/2000,Northern Territory,6580,Arrival,2000,-20.483,133.563
1/01/2000,Australian Capital Territory,11010,Arrival,2000,-35.484,148.967
1/02/2000,New South Wales,303730,Arrival,2000,-32.211,146.198
1/02/2000,Victoria,137380,Arrival,2000,-36.842,144.136
1/02/2000,Queensland,149660,Arrival,2000,-23.253,144.229
1/02/2000,South Australia,22420,Arrival,2000,-29.198,134.779
1/02/2000,Western Australia,72360,Arrival,2000,-25.667,122.343
1/02/2000,Tasmania,8110,Arrival,2000,-42.139,146.564
1/02/2000,Northern Territory,7480,Arrival,2000,-20.483,133.563
1/02/2000,Australian Capital Territory,7640,Arrival,2000,-35.484,148.967
1/03/2000,New South Wales,280620,Arrival,2000,-32.211,146.198
1/03/2000,Victoria,129770,Arrival,2000,-36.842,144.136
1/03/2000,Queensland,141990,Arrival,2000,-23.253,144.229
1/03/2000,South Australia,21570,Arrival,2000,-29.198,134.779
1/03/2000,Western Australia,68320,Arrival,2000,-25.667,122.343
1/03/2000,Tasmania,4140,Arrival,2000,-42.139,146.564
1/03/2000,Northern Territory,9910,Arrival,2000,-20.483,133.563
1/03/2000,Australian Capital Territory,7030,Arrival,2000,-35.484,148.967
1/04/2000,New South Wales,302080,Arrival,2000,-32.211,146.198
1/04/2000,Victoria,130770,Arrival,2000,-36.842,144.136
1/04/2000,Queensland,159390,Arrival,2000,-23.253,144.229
1/04/2000,South Australia,25150,Arrival,2000,-29.198,134.779
1/04/2000,Western Australia,68380,Arrival,2000,-25.667,122.343
1/04/2000,Tasmania,4300,Arrival,2000,-42.139,146.564
1/04/2000,Northern Territory,7700,Arrival,2000,-20.483,133.563
1/04/2000,Australian Capital Territory,9190,Arrival,2000,-35.484,148.967
1/05/2000,New South Wales,252680,Arrival,2000,-32.211,146.198
1/05/2000,Victoria,104050,Arrival,2000,-36.842,144.136
1/05/2000,Queensland,137690,Arrival,2000,-23.253,144.229
1/05/2000,South Australia,20990,Arrival,2000,-29.198,134.779
1/05/2000,Western Australia,61070,Arrival,2000,-25.667,122.343
1/05/2000,Tasmania,3260,Arrival,2000,-42.139,146.564
