year,date,state,type,value,latitude,longitude
2000,2000,Australian Capital Territory,Arrival,113730,-35.484,148.967
2000,2000,Australian Capital Territory,Departure,112870,-35.484,148.967
2000,2000,New South Wales,Arrival,3666580,-32.211,146.198
2000,2000,New South Wales,Departure,3724280,-32.211,146.198
2000,2000,Northern Territory,Arrival,100520,-20.483,133.563
2000,2000,Northern Territory,Departure,98800,-20.483,133.563
2000,2000,Queensland,Arrival,1891480,-23.253,144.229
2000,2000,Queensland,Departure,1842780,-23.253,144.229
2000,2000,South Australia,Arrival,294350,-29.198,134.779
2000,2000,South Australia,Departure,277770,-29.198,134.779
2000,2000,Tasmania,Arrival,63570,-42.139,146.564
2000,2000,Tasmania,Departure,64160,-42.139,146.564
2000,2000,Victoria,Arrival,1642070,-36.842,144.136
2000,2000,Victoria,Departure,1580110,-36.842,144.136
2000,2000,Western Australia,Arrival,893530,-25.667,122.343
2000,2000,Western Australia,Departure,906850,-25.667,122.343
2001,2001,Australian Capital Territory,Arrival,115560,-35.484,148.967
2001,2001,Australian Capital Territory,Departure,112250,-35.484,148.967
2001,2001,New South Wales,Arrival,3528620,-32.211,146.198
2001,2001,New South Wales,Departure,3573350,-32.211,146.198
2001,2001,Northern Territory,Arrival,102300,-20.483,133.563
2001,2001,Northern Territory,Departure,108730,-20.483,133.563
2001,2001,Queensland,Arrival,1943240,-23.253,144.229
2001,2001,Queensland,Departure,1885280,-23.253,144.229
2001,2001,South Australia,Arrival,289310,-29.198,134.779
2001,2001,South Australia,Departure,289220,-29.198,134.779
2001,2001,Tasmania,Arrival,64310,-42.139,146.564
2001,2001,Tasmania,Departure,71140,-42.139,146.564
2001,2001,Victoria,Arrival,1711110,-36.842,144.136
2001,2001,Victoria,Departure,1646650,-36.842,144.136
2001,2001,Western Australia,Arrival,898000,-25.667,122.343
2001,2001,Western Australia,Departure,878810,-25.667,122.343
2002,2002,Australian Capital Territory,Arrival,119080,-35.484,148.967
2002,2002,Australian Capital Territory,Departure,120450,-35.484,148.967
2002,2002,New South Wales,Arrival,3451670,-32.211,146.198
2002,2002,New South Wales,Departure,3528050,-32.211,146.198
2002,2002,Northern Territory,Arrival,91430,-20.483,133.563
2002,2002,Northern Territory,Departure,102040,-20.483,133.563
2002,2002,Queensland,Arrival,1944870,-23.253,144.229
2002,2002,Queensland,Departure,1903740,-23.253,144.229
2002,2002,South Australia,Arrival,278190,-29.198,134.779
2002,2002,South Australia,Departure,286620,-29.198,134.779
2002,2002,Tasmania,Arrival,63530,-42.139,146.564
2002,2002,Tasmania,Departure,83510,-42.139,146.564
2002,2002,Victoria,Arrival,1747280,-36.842,144.136
2002,2002,Victoria,Departure,1671250,-36.842,144.136
2002,2002,Western Australia,Arrival,900730,-25.667,122.343
2002,2002,Western Australia,Departure,881740,-25.667,122.343
2003,2003,Australian Capital Territory,Arrival,118730,-35.484,148.967
2003,2003,Australian Capital Territory,Departure,122440,-35.484,148.967
2003,2003,New South Wales,Arrival,3383440,-32.211,146.198
2003,2003,New South Wales,Departure,3401250,-32.211,146.198
2003,2003,Northern Territory,Arrival,76790,-20.483,133.563
2003,2003,Northern Territory,Departure,84240,-20.483,133.563
2003,2003,Queensland,Arrival,1946950,-23.253,144.229
2003,2003,Queensland,Departure,1927210,-23.253,144.229
2003,2003,South Australia,Arrival,269590,-29.198,134.779
2003,2003,South Australia,Departure,270020,-29.198,134.779
2003,2003,Tasmania,Arrival,67050,-42.139,146.564
2003,2003,Tasmania,Departure,73950,-42.139,146.564
2003,2003,Victoria,Arrival,1711730,-36.842,144.136
2003,2003,Victoria,Departure,1675590,-36.842,144.136
2003,2003,Western Australia,Arrival,889560,-25.667,122.343
2003,2003,Western Australia,Departure,846660,-25.667,122.343
2004,2004,Australian Capital Territory,Arrival,139370,-35.484,148.967
2004,2004,Australian Capital Territory,Departure,138740,-35.484,148.967
2004,2004,New South Wales,Arrival,3871670,-32.211,146.198
2004,2004,New South Wales,Departure,3857050,-32.211,146.198
2004,2004,Northern Territory,Arrival,87180,-20.483,133.563
2004,2004,Northern Territory,Departure,93890,-20.483,133.563
2004,2004,Queensland,Arrival,2326820,-23.253,144.229
2004,2004,Queensland,Departure,2285230,-23.253,144.229
2004,2004,South Australia,Arrival,335530,-29.198,134.779
2004,2004,South Australia,Departure,351520,-29.198,134.779
2004,2004,Tasmania,Arrival,81090,-42.139,146.564
2004,2004,Tasmania,Departure,88680,-42.139,146.564
2004,2004,Victoria,Arrival,2047970,-36.842,144.136
2004,2004,Victoria,Departure,2060640,-36.842,144.136
2004,2004,Western Australia,Arrival,1016820,-25.667,122.343
2004,2004,Western Australia,Departure,994690,-25.667,122.343
2005,2005,Australian Capital Territory,Arrival,143380,-35.484,148.967
2005,2005,Australian Capital Territory,Departure,147750,-35.484,148.967
2005,2005,New South Wales,Arrival,4166910,-32.211,146.198
2005,2005,New South Wales,Departure,4110870,-32.211,146.198
2005,2005,Northern Territory,Arrival,91600,-20.483,133.563
2005,2005,Northern Territory,Departure,99990,-20.483,133.563
2005,2005,Queensland,Arrival,2468340,-23.253,144.229
2005,2005,Queensland,Departure,2470370,-23.253,144.229
2005,2005,South Australia,Arrival,370720,-29.198,134.779
2005,2005,South Australia,Departure,379760,-29.198,134.779
2005,2005,Tasmania,Arrival,83870,-42.139,146.564
2005,2005,Tasmania,Departure,95880,-42.139,146.564
2005,2005,Victoria,Arrival,2221670,-36.842,144.136
2005,2005,Victoria,Departure,2139970,-36.842,144.136
2005,2005,Western Australia,Arrival,1119350,-25.667,122.343
2005,2005,Western Australia,Departure,1095120,-25.667,122.343
2006,2006,Australian Capital Territory,Arrival,154550,-35.484,148.967
