Year,Country,Arrivals,Departures,Total,Net,Direction,Abs Net
2000,New Zealand,993540,945720,1939260,47820,Net Arrival,47820
2001,New Zealand,1004590,983230,1987820,21360,Net Arrival,21360
2002,New Zealand,961090,954210,1915300,6880,Net Arrival,6880
2003,New Zealand,1016030,1004110,2020140,11920,Net Arrival,11920
2004,New Zealand,1243520,1230530,2474050,12990,Net Arrival,12990
2005,New Zealand,1316060,1295820,2611880,20240,Net Arrival,20240
2006,New Zealand,1296990,1280980,2577970,16010,Net Arrival,16010
2007,New Zealand,1392250,1364470,2756720,27780,Net Arrival,27780
2008,New Zealand,1405100,1370900,2776000,34200,Net Arrival,34200
2009,New Zealand,1424840,1413470,2838310,11370,Net Arrival,11370
2010,New Zealand,1494370,1470770,2965140,23600,Net Arrival,23600
2011,New Zealand,1575020,1535570,3110590,39450,Net Arrival,39450
2012,New Zealand,1661630,1620940,3282570,40690,Net Arrival,40690
2013,New Zealand,1685770,1666780,3352550,18990,Net Arrival,18990
2014,New Zealand,1731940,1726190,3458130,5750,Net Arrival,5750
2015,New Zealand,1787050,1787330,3574380,-280,Net Departure,280
2016,New Zealand,1841600,1827720,3669320,13880,Net Arrival,13880
2017,New Zealand,1873380,1870750,3744130,2630,Net Arrival,2630
2018,New Zealand,1892360,1887040,3779400,5320,Net Arrival,5320
2019,New Zealand,1939260,1928520,3867780,10740,Net Arrival,10740
2020,New Zealand,414230,415480,829710,-1250,Net Departure,1250
2021,New Zealand,174160,169710,343870,4450,Net Arrival,4450
2022,New Zealand,980840,987390,1968230,-6550,Net Departure,6550
2023,New Zealand,1720680,1679950,3400630,40730,Net Arrival,40730
2024,New Zealand,1929060,1900310,3829370,28750,Net Arrival,28750
2025,New Zealand,2049710,2019950,4069660,29760,Net Arrival,29760
2000,China,151070,146680,297750,4390,Net Arrival,4390
2001,China,198350,193780,392130,4570,Net Arrival,4570
2002,China,241930,234340,476270,7590,Net Arrival,7590
2003,China,226930,216110,443040,10820,Net Arrival,10820
2004,China,310010,296680,606690,13330,Net Arrival,13330
2005,China,348250,332100,680350,16150,Net Arrival,16150
2006,China,378400,358280,736680,20120,Net Arrival,20120
2007,China,444570,417020,861590,27550,Net Arrival,27550
2008,China,463440,431440,894880,32000,Net Arrival,32000
2009,China,493550,465490,959040,28060,Net Arrival,28060
2010,China,588860,566120,1154980,22740,Net Arrival,22740
2011,China,687370,672760,1360130,14610,Net Arrival,14610
2012,China,792930,765320,1558250,27610,Net Arrival,27610
2013,China,904390,876070,1780460,28320,Net Arrival,28320
2014,China,1055610,1013390,2069000,42220,Net Arrival,42220
2015,China,1273170,1238570,2511740,34600,Net Arrival,34600
2016,China,1483850,1444430,2928280,39420,Net Arrival,39420
2017,China,1682400,1647240,3329640,35160,Net Arrival,35160
2018,China,1808660,1785780,3594440,22880,Net Arrival,22880
2019,China,1814350,1808450,3622800,5900,Net Arrival,5900
