Continent,Year,Arrivals,Departures
Africa,2000,94640,92360
Africa,2001,98080,92810
Africa,2002,93050,86210
Africa,2003,99870,86660
Africa,2004,99060,89780
Africa,2005,104180,94380
Africa,2006,114060,99790
Africa,2007,121330,111170
Africa,2008,137060,125240
Africa,2009,129740,132650
Africa,2010,130850,136270
Africa,2011,135180,142060
Africa,2012,134010,139460
Africa,2013,127740,137920
Africa,2014,123040,135490
Africa,2015,120960,133420
Africa,2016,124920,133660
Africa,2017,129170,134370
Africa,2018,140330,141740
Africa,2019,143770,144300
Africa,2020,36580,42980
Africa,2021,9560,8690
Africa,2022,92350,65310
Africa,2023,134930,109770
Africa,2024,138400,120190
Africa,2025,144550,132200
Asia,2000,2085030,2605610
Asia,2001,2099190,2558280
Asia,2002,2194260,2626710
Asia,2003,2081540,2493140
Asia,2004,2365940,2758920
Asia,2005,2506810,2893020
Asia,2006,2519630,2884020
Asia,2007,2608520,2919440
Asia,2008,2597960,2840920
Asia,2009,2645460,2893480
Asia,2010,2877990,3174540
Asia,2011,2963840,3208960
Asia,2012,3263430,3444130
Asia,2013,3524870,3702320
Asia,2014,3871260,4062550
Asia,2015,4272980,4445360
Asia,2016,4939100,5107020
Asia,2017,5401170,5543260
Asia,2018,5807960,5911210
Asia,2019,6001280,6131400
Asia,2020,1177850,1346510
Asia,2021,162160,164250
Asia,2022,2196370,1625720
Asia,2023,4487490,4112000
Asia,2024,5505430,5260360
Asia,2025,5935200,5756670
Europe,2000,1614610,1488460
Europe,2001,1607830,1515390
Europe,2002,1578260,1467470
Europe,2003,1589070,1474500
Europe,2004,1642660,1525590
Europe,2005,1740910,1598860
Europe,2006,1789550,1603770
Europe,2007,1807030,1664800
Europe,2008,1863970,1656960
Europe,2009,1851870,1665140
Europe,2010,1871200,1691550
Europe,2011,1856280,1684830
Europe,2012,1903350,1697620
Europe,2013,1999890,1798970
Europe,2014,2029050,1854940
Europe,2015,2080500,1886750
Europe,2016,2181870,2006600
Europe,2017,2249430,2102020
Europe,2018,2273880,2159700
Europe,2019,2238950,2141430
Europe,2020,569670,707340
Europe,2021,56700,62680
Europe,2022,1089120,894650
Europe,2023,1719700,1685310
Europe,2024,1886370,1891750
Europe,2025,2118260,2050680
North America,2000,606550,183850
North America,2001,578310,196580
North America,2002,559990,197220
North America,2003,547590,191840
North America,2004,571460,221710
North America,2005,594070,247810
North America,2006,615650,277910
North America,2007,628530,299820
North America,2008,646620,350890
North America,2009,667150,382150
North America,2010,668800,409260
North America,2011,658670,422930
North America,2012,688080,458560
North America,2013,708690,478590
North America,2014,745760,509920
North America,2015,785930,560300
North America,2016,870090,619240
North America,2017,933760,700690
North America,2018,1017770,801700
North America,2019,1077300,871580
North America,2020,260670,266270
North America,2021,19720,53550
North America,2022,426550,527420
North America,2023,829570,835220
North America,2024,920010,942210
North America,2025,964400,998300
Oceania,2000,1046040,986660
Oceania,2001,1055930,1024120
Oceania,2002,1010420,994750
Oceania,2003,1066980,1046080
Oceania,2004,1298250,1275580
Oceania,2005,1373910,1344260
Oceania,2006,1357170,1330620
Oceania,2007,1451640,1415480
Oceania,2008,1471560,1426020
Oceania,2009,1492790,1474270
Oceania,2010,1565160,1535720
Oceania,2011,1647560,1600770
Oceania,2012,1733330,1687640
Oceania,2013,1757440,1734620
Oceania,2014,1806770,1794440
Oceania,2015,1859800,1857240
Oceania,2016,1919230,1900680
Oceania,2017,1959090,1953920
Oceania,2018,1989970,1979420
Oceania,2019,2041480,2027300
Oceania,2020,435720,444030
Oceania,2021,191170,175620
Oceania,2022,1045310,1037440
Oceania,2023,1835890,1783010
Oceania,2024,2060710,2025120
Oceania,2025,2187240,2151520
South America,2000,36930,33990
South America,2001,32060,31780
South America,2002,26540,26670
South America,2003,24850,25550
South America,2004,28010,29080
South America,2005,33840,34340
South America,2006,43010,41690
South America,2007,53010,49830
South America,2008,66190,61030
South America,2009,70650,69300
South America,2010,71490,71890
South America,2011,77280,78170
South America,2012,92300,89540
South America,2013,103990,97620
South America,2014,109510,108230
South America,2015,114750,111670
South America,2016,132930,124680
South America,2017,154490,146100
South America,2018,177710,172990
South America,2019,182220,173000
South America,2020,48020,55970
South America,2021,3250,9340
South America,2022,110830,76530
South America,2023,195320,145540
South America,2024,180520,171800
South America,2025,188880,184430
