Year,Country,Count,Type,Continent
2000,New Zealand,993540,Arrival,Oceania
2000,United Kingdom,864640,Arrival,Europe
2000,Japan,741180,Arrival,Asia
2000,United States,488670,Arrival,North America
2000,Singapore,229500,Arrival,Asia
2000,Malaysia,201750,Arrival,Asia
2000,Germany,171570,Arrival,Europe
2000,South Korea,168130,Arrival,Asia
2000,China,151070,Arrival,Asia
2000,Taiwan,144630,Arrival,Asia
2001,New Zealand,1004590,Arrival,Oceania
2001,United Kingdom,891930,Arrival,Europe
2001,Japan,699170,Arrival,Asia
2001,United States,456540,Arrival,North America
2001,Singapore,221470,Arrival,Asia
2001,Malaysia,199470,Arrival,Asia
2001,China,198350,Arrival,Asia
2001,South Korea,190940,Arrival,Asia
2001,Germany,179530,Arrival,Europe
2001,Indonesia,124720,Arrival,Asia
2002,New Zealand,961090,Arrival,Oceania
2002,United Kingdom,884750,Arrival,Europe
2002,Japan,741970,Arrival,Asia
2002,United States,441290,Arrival,North America
2002,China,241930,Arrival,Asia
2002,Singapore,209880,Arrival,Asia
2002,Malaysia,209220,Arrival,Asia
2002,South Korea,208540,Arrival,Asia
2002,Germany,166770,Arrival,Europe
2002,Indonesia,120990,Arrival,Asia
2003,New Zealand,1016030,Arrival,Oceania
2003,United Kingdom,899980,Arrival,Europe
2003,Japan,643700,Arrival,Asia
2003,United States,433150,Arrival,North America
2003,China,226930,Arrival,Asia
2003,South Korea,225880,Arrival,Asia
2003,Malaysia,207070,Arrival,Asia
2003,Singapore,193730,Arrival,Asia
2003,Germany,166170,Arrival,Europe
2003,Indonesia,124960,Arrival,Asia
2004,New Zealand,1243520,Arrival,Oceania
2004,United Kingdom,920770,Arrival,Europe
2004,Japan,725410,Arrival,Asia
2004,United States,445410,Arrival,North America
2004,China,310010,Arrival,Asia
2004,South Korea,234740,Arrival,Asia
2004,Malaysia,227210,Arrival,Asia
2004,Singapore,202730,Arrival,Asia
2004,Germany,168610,Arrival,Europe
2004,Indonesia,119630,Arrival,Asia
2005,New Zealand,1316060,Arrival,Oceania
