blah,Continent,Year,Total
Africa,Africa,2000,94640
Africa,Africa,2001,98080
Africa,Africa,2002,93050
Africa,Africa,2003,99870
Africa,Africa,2004,99060
Africa,Africa,2005,104180
Africa,Africa,2006,114060
Africa,Africa,2007,121330
Africa,Africa,2008,137060
Africa,Africa,2009,129740
Africa,Africa,2010,130850
Africa,Africa,2011,135180
Africa,Africa,2012,134010
Africa,Africa,2013,127740
Africa,Africa,2014,123040
Africa,Africa,2015,120960
Africa,Africa,2016,124920
Africa,Africa,2017,129170
Africa,Africa,2018,140330
Africa,Africa,2019,143770
Africa,Africa,2020,36580
Africa,Africa,2021,9560
Africa,Africa,2022,92350
Africa,Africa,2023,134930
Africa,Africa,2024,138400
Africa,Africa,2025,144550
Asia,Asia,2000,2085030
Asia,Asia,2001,2099190
Asia,Asia,2002,2194260
Asia,Asia,2003,2081540
Asia,Asia,2004,2365940
Asia,Asia,2005,2506810
Asia,Asia,2006,2519630
Asia,Asia,2007,2608520
Asia,Asia,2008,2597960
Asia,Asia,2009,2645460
Asia,Asia,2010,2877990
Asia,Asia,2011,2963840
Asia,Asia,2012,3263430
Asia,Asia,2013,3524870
Asia,Asia,2014,3871260
Asia,Asia,2015,4272980
Asia,Asia,2016,4939100
Asia,Asia,2017,5401170
Asia,Asia,2018,5807960
Asia,Asia,2019,6001280
Asia,Asia,2020,1177850
Asia,Asia,2021,162160
Asia,Asia,2022,2196370
Asia,Asia,2023,4487490
Asia,Asia,2024,5505430
Asia,Asia,2025,5935200
Europe,Europe,2000,1614610
Europe,Europe,2001,1607830
Europe,Europe,2002,1578260
Europe,Europe,2003,1589070
Europe,Europe,2004,1642660
Europe,Europe,2005,1740910
Europe,Europe,2006,1789550
Europe,Europe,2007,1807030
Europe,Europe,2008,1863970
Europe,Europe,2009,1851870
Europe,Europe,2010,1871200
Europe,Europe,2011,1856280
Europe,Europe,2012,1903350
Europe,Europe,2013,1999890
Europe,Europe,2014,2029050
Europe,Europe,2015,2080500
Europe,Europe,2016,2181870
Europe,Europe,2017,2249430
Europe,Europe,2018,2273880
Europe,Europe,2019,2238950
Europe,Europe,2020,569670
Europe,Europe,2021,56700
Europe,Europe,2022,1089120
Europe,Europe,2023,1719700
Europe,Europe,2024,1886370
Europe,Europe,2025,2118260
North America,North America,2000,606550
North America,North America,2001,578310
North America,North America,2002,559990
North America,North America,2003,547590
North America,North America,2004,571460
North America,North America,2005,594070
North America,North America,2006,615650
North America,North America,2007,628530
North America,North America,2008,646620
North America,North America,2009,667150
North America,North America,2010,668800
North America,North America,2011,658670
North America,North America,2012,688080
North America,North America,2013,708690
North America,North America,2014,745760
North America,North America,2015,785930
North America,North America,2016,870090
North America,North America,2017,933760
North America,North America,2018,1017770
North America,North America,2019,1077300
North America,North America,2020,260670
North America,North America,2021,19720
North America,North America,2022,426550
North America,North America,2023,829570
North America,North America,2024,920010
North America,North America,2025,964400
Oceania,Oceania,2000,4171960
Oceania,Oceania,2001,4193530
Oceania,Oceania,2002,4110260
Oceania,Oceania,2003,4092680
Oceania,Oceania,2004,5169650
Oceania,Oceania,2005,5654750
Oceania,Oceania,2006,5797570
Oceania,Oceania,2007,6364390
Oceania,Oceania,2008,6770790
Oceania,Oceania,2009,7093700
Oceania,Oceania,2010,7912560
Oceania,Oceania,2011,8593880
Oceania,Oceania,2012,8991970
Oceania,Oceania,2013,9434630
Oceania,Oceania,2014,9847640
Oceania,Oceania,2015,10158340
Oceania,Oceania,2016,10693200
Oceania,Oceania,2017,11212260
Oceania,Oceania,2018,11676340
Oceania,Oceania,2019,11925670
Oceania,Oceania,2020,2846260
Oceania,Oceania,2021,512620
Oceania,Oceania,2022,5775560
Oceania,Oceania,2023,10846870
Oceania,Oceania,2024,12296000
Oceania,Oceania,2025,13236000
South America,South America,2000,36930
South America,South America,2001,32060
South America,South America,2002,26540
South America,South America,2003,24850
South America,South America,2004,28010
South America,South America,2005,33840
South America,South America,2006,43010
South America,South America,2007,53010
South America,South America,2008,66190
South America,South America,2009,70650
South America,South America,2010,71490
South America,South America,2011,77280
South America,South America,2012,92300
South America,South America,2013,103990
South America,South America,2014,109510
South America,South America,2015,114750
South America,South America,2016,132930
South America,South America,2017,154490
South America,South America,2018,177710
South America,South America,2019,182220
South America,South America,2020,48020
South America,South America,2021,3250
South America,South America,2022,110830
South America,South America,2023,195320
South America,South America,2024,180520
South America,South America,2025,188880
