date,Date,arrivals,departures
1/01/2000,1/01/2000,753440,723440
1/02/2000,2/01/2000,708940,624840
1/03/2000,3/01/2000,663510,702200
1/04/2000,4/01/2000,707500,741110
1/05/2000,5/01/2000,594550,661340
1/06/2000,6/01/2000,615350,664860
1/07/2000,7/01/2000,794190,687860
1/08/2000,8/01/2000,679450,728810
1/09/2000,9/01/2000,753310,715560
1/10/2000,10/01/2000,821590,735140
1/11/2000,11/01/2000,759550,759430
1/12/2000,12/01/2000,820560,871220
1/01/2001,1/01/2001,874790,821560
1/02/2001,2/01/2001,733150,636500
1/03/2001,3/01/2001,707640,749700
1/04/2001,4/01/2001,719340,754150
1/05/2001,5/01/2001,603030,679260
1/06/2001,6/01/2001,656320,706880
1/07/2001,7/01/2001,835280,738660
1/08/2001,8/01/2001,697870,751250
1/09/2001,9/01/2001,705910,699630
1/10/2001,10/01/2001,750270,618950
1/11/2001,11/01/2001,625250,637910
1/12/2001,12/01/2001,753250,782310
1/01/2002,1/01/2002,787590,757640
1/02/2002,2/01/2002,708130,640570
1/03/2002,3/01/2002,729840,743420
1/04/2002,4/01/2002,649940,704770
1/05/2002,5/01/2002,598300,667490
1/06/2002,6/01/2002,625020,682710
1/07/2002,7/01/2002,801980,707290
1/08/2002,8/01/2002,691630,735280
1/09/2002,9/01/2002,692100,704200
1/10/2002,10/01/2002,828820,675740
1/11/2002,11/01/2002,714940,723120
1/12/2002,12/01/2002,769760,836430
1/01/2003,1/01/2003,838900,786500
1/02/2003,2/01/2003,720640,631130
1/03/2003,3/01/2003,672780,684720
1/04/2003,4/01/2003,574090,598470
1/05/2003,5/01/2003,487890,540420
1/06/2003,6/01/2003,545910,604260
1/07/2003,7/01/2003,771510,683410
1/08/2003,8/01/2003,675570,730170
1/09/2003,9/01/2003,727000,729570
1/10/2003,10/01/2003,839260,692720
1/11/2003,11/01/2003,774060,798620
1/12/2003,12/01/2003,837530,922660
1/01/2004,1/01/2004,930230,872150
1/02/2004,2/01/2004,815130,704580
1/03/2004,3/01/2004,754000,795610
1/04/2004,4/01/2004,770580,811370
1/05/2004,5/01/2004,671220,746690
1/06/2004,6/01/2004,705690,795240
1/07/2004,7/01/2004,952560,807180
1/08/2004,8/01/2004,785000,843010
1/09/2004,9/01/2004,812710,825840
1/10/2004,10/01/2004,951720,791600
1/11/2004,11/01/2004,838150,862840
1/12/2004,12/01/2004,919500,1014700
1/01/2005,1/01/2005,1073840,956180
1/02/2005,2/01/2005,879130,774700
1/03/2005,3/01/2005,882640,898590
1/04/2005,4/01/2005,809610,853530
1/05/2005,5/01/2005,708680,805960
1/06/2005,6/01/2005,763400,863870
1/07/2005,7/01/2005,1031850,867850
1/08/2005,8/01/2005,847750,904730
1/09/2005,9/01/2005,892970,880090
1/10/2005,10/01/2005,989370,815700
1/11/2005,11/01/2005,842190,883600
1/12/2005,12/01/2005,944670,1035100
1/01/2006,1/01/2006,1092420,959690
1/02/2006,2/01/2006,892920,780630
1/03/2006,3/01/2006,845850,870590
1/04/2006,4/01/2006,849430,916940
1/05/2006,5/01/2006,722640,803640
1/06/2006,6/01/2006,779630,890800
1/07/2006,7/01/2006,1036240,856610
1/08/2006,8/01/2006,845420,894280
1/09/2006,9/01/2006,909060,895330
1/10/2006,10/01/2006,1035540,868850
1/11/2006,11/01/2006,893840,900420
1/12/2006,12/01/2006,1007590,1106420
1/01/2007,1/01/2007,1135590,1013050
1/02/2007,2/01/2007,929580,812520
1/03/2007,3/01/2007,945260,965780
1/04/2007,4/01/2007,909670,951580
1/05/2007,5/01/2007,779980,856170
1/06/2007,6/01/2007,841640,935360
1/07/2007,7/01/2007,1085800,934850
1/08/2007,8/01/2007,926260,962120
1/09/2007,9/01/2007,956610,983450
1/10/2007,10/01/2007,1107580,910930
1/11/2007,11/01/2007,964140,974850
1/12/2007,12/01/2007,1031710,1174380
1/01/2008,1/01/2008,1208080,1041870
1/02/2008,2/01/2008,1039480,885850
1/03/2008,3/01/2008,998160,1008050
1/04/2008,4/01/2008,929810,960120
1/05/2008,5/01/2008,845990,924940
1/06/2008,6/01/2008,881290,967050
1/07/2008,7/01/2008,1163830,996350
1/08/2008,8/01/2008,964100,996630
1/09/2008,9/01/2008,959240,958090
1/10/2008,10/01/2008,1129070,916310
1/11/2008,11/01/2008,962240,961270
1/12/2008,12/01/2008,1033260,1187990
1/01/2009,1/01/2009,1238640,1042720
1/02/2009,2/01/2009,998940,844290
1/03/2009,3/01/2009,954240,955430
1/04/2009,4/01/2009,982110,1022600
1/05/2009,5/01/2009,857170,936610
1/06/2009,6/01/2009,862650,987950
1/07/2009,7/01/2009,1155030,1010180
