id,name,parent,count,arrivals,departures
1,root,,,0,0
2,Asia,1,,0,0
3,Europe,1,,0,0
4,Oceania,1,,0,0
5,North America,1,,0,0
6,South America,1,,0,0
7,Africa,1,,0,0
8,Australia,4,22113480,11048760,11064720
9,New Zealand,4,4069660,2049710,2019950
10,China,2,2988340,1501850,1486490
11,United Kingdom,3,1867150,954050,913100
12,India,2,1597270,822670,774600
13,United States,5,1519860,746180,773680
14,South Korea,2,934540,465980,468560
15,Japan,2,926780,464760,462020
16,Singapore,2,734030,366940,367090
17,Malaysia,2,678860,339040,339820
18,Indonesia,2,601470,304230,297240
19,Philippines,2,549690,289490,260200
20,Hong Kong,2,469050,236030,233020
21,France,3,450570,228360,222210
22,Vietnam,2,447160,226990,220170
23,Taiwan,2,432590,217920,214670
24,Germany,3,425440,213390,212050
25,Canada,5,395220,193710,201510
26,Ireland,3,297300,148690,148610
27,Nepal,2,245320,133090,112230
28,Italy,3,224000,112570,111430
29,Thailand,2,217050,110510,106540
30,Sri Lanka,2,194570,102200,92370
31,Netherlands,3,158110,79380,78730
32,Fiji,4,143680,72430,71250
33,South Africa,7,139800,71220,68580
34,Brazil,6,135610,68070,67540
35,Pakistan,2,125750,66120,59630
36,Spain,3,112170,55830,56340
37,Bangladesh,2,98870,52800,46070
38,Colombia,6,81380,41370,40010
39,Switzerland,3,77550,38940,38610
40,Sweden,3,71160,36170,34990
41,Chile,6,67610,33980,33630
42,Poland,3,59620,30320,29300
43,Denmark,3,58570,29550,29020
44,Argentina,6,53000,26690,26310
45,Cambodia,2,51150,26300,24850
46,Belgium,3,48710,24570,24140
47,Iran,2,46040,24440,21600
48,Russia,2,44280,22770,21510
49,Norway,3,42860,21450,21410
50,Austria,3,42370,21340,21030
51,Portugal,3,37880,19030,18850
52,Mexico,5,36790,18620,18170
53,Afghanistan,2,34770,17920,16850
54,Tonga,4,32840,16890,15950
55,Mongolia,2,29750,15380,14370
56,Turkey,2,28990,14780,14210
57,Vanuatu,4,28810,14610,14200
58,Israel,2,27250,14120,13130
59,Kenya,7,27030,13990,13040
60,Finland,3,25490,13520,11970
61,Bhutan,2,24940,13160,11780
62,Saudi Arabia,2,24200,12840,11360
63,Solomon Islands,4,23540,12340,11200
64,Czech Republic,3,21750,11950,9800
65,Mauritius,7,21100,11330,9770
66,Zimbabwe,7,19720,10700,9020
67,Timor-Leste,2,18900,9880,9020
68,Peru,6,18720,9710,9010
69,Myanmar,2,18150,9400,8750
70,Lebanon,2,17770,9290,8480
71,Hungary,3,17200,9190,8010
72,Egypt,7,16620,8810,7810
73,Samoa,4,16470,8780,7690
74,Greece,3,15300,8490,6810
75,Nigeria,7,14250,7600,6650
76,Nauru,4,14010,7470,6540
